species,troph,troph_se
massinium watsonae,2,NA
mazettia pareti,2,NA
meandrarea marcouana,2,NA
meandrina alahuelaensis,2,NA
meandrina antiguensis,2,NA
meandrina bowersi,2,NA
meandrina brasiliensis,2,NA
meandrina danae,2,NA
meandrina dumblei,2,NA
meandrina jacksoni,2,NA
meandrina meandrites,2,NA
meandrina medlicotti,2,NA
meandrina portoricensis,2,NA
mecaster arnonensis,2,NA
mecaster orbignyanus,2,NA
megaciella anisochela,2,NA
megaciella annectens,2,NA
megaciella cardenasi,2,NA
megaciella fragilis,2,NA
megaciella incrustans,2,NA
megaciella lobata,2,NA
megaciella microtoxa,2,NA
megaciella ochotensis,2,NA
megaciella pilosa,2,NA
megaciella pituitosa,2,NA
megaciella spirinae,2,NA
megaciella tawiensis,2,NA
megaciella tibiellifera,2,NA
megaciella topsenti,2,NA
megaciella toxispinosa,2,NA
megaciella triangulata,2,NA
megaciella zenkevitchi,2,NA
megalactis comata,2,NA
megalactis griffithsi,2,NA
megalactis hemprichii,2,NA
megapneustes jaisalmerensis,2,NA
megaporocidaris mariana,2,NA
melithaea acuta,2,NA
melithaea africana,2,NA
melithaea akalyx,2,NA
melithaea albitincta,2,NA
melithaea amboinensis,2,NA
melithaea andamanensis,2,NA
melithaea arborea,2,NA
melithaea atrorubens,2,NA
melithaea aurantia,2,NA
melithaea australis,2,NA
melithaea baladea,2,NA
melithaea bicolor,2,NA
melithaea biserialis,2,NA
melithaea boninensis,2,NA
melithaea braueri,2,NA
melithaea caledonica,2,NA
melithaea capensis,2,NA
melithaea cervicornis,2,NA
melithaea cinquemiglia,2,NA
melithaea clavigera,2,NA
melithaea coccinea,2,NA
melithaea contorta,2,NA
melithaea corymbosa,2,NA
melithaea davidi,2,NA
melithaea delicata,2,NA
melithaea dichotoma,2,NA
melithaea divaricata,2,NA
melithaea doederleini,2,NA
melithaea dubia,2,NA
melithaea ellisi,2,NA
melithaea elongata,2,NA
melithaea erythraea,2,NA
melithaea esperi,2,NA
melithaea flabellata,2,NA
melithaea flabellum,2,NA
melithaea formosa,2,NA
melithaea fragilis,2,NA
melithaea frondosa,2,NA
melithaea furcata,2,NA
melithaea gracilis,2,NA
melithaea gracillima,2,NA
melithaea habereri,2,NA
melithaea haddoni,2,NA
melithaea hendersoni,2,NA
melithaea hicksoni,2,NA
melithaea isonoi,2,NA
melithaea japonica,2,NA
melithaea keramaensis,2,NA
melithaea klunzingeri,2,NA
melithaea kuea,2,NA
melithaea laevis,2,NA
melithaea linearis,2,NA
melithaea mabahissi,2,NA
melithaea maldivensis,2,NA
melithaea mcqueeni,2,NA
melithaea mertoni,2,NA
melithaea modesta,2,NA
melithaea moluccana,2,NA
melithaea mutsu,2,NA
melithaea nodosa,2,NA
melithaea nuttingi,2,NA
melithaea occidentalis,2,NA
melithaea ochracea,2,NA
melithaea omanensis,2,NA
melithaea ornata,2,NA
melithaea ouvea,2,NA
melithaea oyeni,2,NA
melithaea philippinensis,2,NA
melithaea planiloca,2,NA
melithaea planoregularis,2,NA
melithaea pulchella,2,NA
melithaea pulchra,2,NA
melithaea ramulosa,2,NA
melithaea retifera,2,NA
melithaea robusta,2,NA
melithaea roemeri,2,NA
melithaea rubeola,2,NA
melithaea rubra,2,NA
melithaea rubrinodis,2,NA
melithaea rugosa,2,NA
melithaea ryukyuensis,2,NA
melithaea sagamiensis,2,NA
melithaea sanguinea,2,NA
melithaea satsumaensis,2,NA
melithaea serrata,2,NA
melithaea shanni,2,NA
melithaea sinaica,2,NA
melithaea singularis,2,NA
melithaea sinuata,2,NA
melithaea spinosa,2,NA
melithaea splendens,2,NA
melithaea spongiosa,2,NA
melithaea squamata,2,NA
melithaea squarrosa,2,NA
melithaea stiasnyi,2,NA
melithaea stormii,2,NA
melithaea studeri,2,NA
melithaea suensoni,2,NA
melithaea superba,2,NA
melithaea tanseii,2,NA
melithaea tenella,2,NA
melithaea tenuis,2,NA
melithaea textiformis,2,NA
melithaea thomsoni,2,NA
melithaea thorpeae,2,NA
melithaea tokaraensis,2,NA
melithaea tongaensis,2,NA
melithaea triangulata,2,NA
melithaea trilineata,2,NA
melithaea undulata,2,NA
melithaea valdiviae,2,NA
melithaea variabilis,2,NA
melithaea virgata,2,NA
melithaea wrighti,2,NA
melithaea zimmeri,2,NA
mellita aclinensis,2,NA
mellita isometra,2,NA
mellita kanakoffi,2,NA
mellita notabilis,2,NA
mellita quinquiesperforata,2,NA
mellita tenuis,2,NA
mellitella stokesii,2,NA
melonanchora elliptica,2,NA
melonanchora emphysema,2,NA
melonanchora globogilva,2,NA
melonanchora kobjakovae,2,NA
melonanchora tetradentifera,2,NA
melophlus sarasinorum,2,NA
mena chilkaea,2,NA
mena limnicola,2,NA
menacella gracilis,2,NA
menacella reticularis,2,NA
menacella rubra,2,NA
menacella sladeni,2,NA
menella filiformis,2,NA
menella flora,2,NA
menella grayi,2,NA
menella heterospiculata,2,NA
menella indica,2,NA
menella kanisa,2,NA
menella kouare,2,NA
menella lenzii,2,NA
menella michaelseni,2,NA
menella mikrodentata,2,NA
menella mjobergi,2,NA
menella multispinosa,2,NA
menella praelonga,2,NA
menella pseudoaurantiaca,2,NA
menella ramosissima,2,NA
menella regularis,2,NA
menella rigida,2,NA
menella rubescens,2,NA
menella simplex,2,NA
menella spinifera,2,NA
menella spinosa,2,NA
menella unilateralis,2,NA
menella woodin,2,NA
mensamaria intercedens,2,NA
meoma antiqua,2,NA
meoma cadenati,2,NA
meoma caobaensis,2,NA
merlia deficiens,2,NA
merlia lipoclavidisca,2,NA
merlia morlandi,2,NA
merlia normani,2,NA
merlia tenuis,2,NA
merulina ampliata,2,NA
merulina cylindrica,2,NA
merulina isseli,2,NA
merulina rotunda,2,NA
merulina scabricula,2,NA
merulina scheeri,2,NA
merulina triangularis,2,NA
mesacmaea chloropsis,2,NA
mesacmaea laevis,2,NA
mesacmaea mitchellii,2,NA
mesactinia ganensis,2,NA
mesocentrotus franciscanus,2,NA
mesocentrotus nudus,2,NA
mesogligorgia scotiae,2,NA
mesomorpha alveolaris,2,NA
mesomorpha mammilata,2,NA
mesothuria abbreviata,2,NA
mesothuria bifurcata,2,NA
mesothuria carnosa,2,NA
mesothuria cathedralis,2,NA
mesothuria crebrapedes,2,NA
mesothuria deani,2,NA
mesothuria edwardensis,2,NA
mesothuria gargantua,2,NA
mesothuria holothurioides,2,NA
mesothuria incerta,2,NA
mesothuria intestinalis,2,NA
mesothuria magellani,2,NA
mesothuria maroccana,2,NA
mesothuria megapoda,2,NA
mesothuria milleri,2,NA
mesothuria multipes,2,NA
mesothuria multipora,2,NA
mesothuria murrayi,2,NA
mesothuria oktaknemoides,2,NA
mesothuria oktaknemus,2,NA
mesothuria regularia,2,NA
mesothuria roulei,2,NA
mesothuria rugosa,2,NA
mesothuria squamosa,2,NA
mesothuria sufflava,2,NA
mesothuria verrilli,2,NA
mesozoanthus fossii,2,NA
mesozoanthus lilkweminensis,2,NA
mespilia globulus,2,NA
metacrosalenia pseudocidaroides,2,NA
metacrosalenia quadrimiliaris,2,NA
metafannyella aurora,2,NA
metafannyella chathamensis,2,NA
metafannyella eos,2,NA
metafannyella lepidota,2,NA
metafannyella mawsoni,2,NA
metafannyella polita,2,NA
metafannyella ventilabrum,2,NA
metalia agariciformis,2,NA
metalia angustus,2,NA
metalia cartagensis,2,NA
metalia dicrana,2,NA
metalia dubia,2,NA
metalia jamaicensis,2,NA
metalia kermadecensis,2,NA
metalia latissima,2,NA
metalia nobilis,2,NA
metalia palmeri,2,NA
metalia pelagica,2,NA
metalia persica,2,NA
metalia robillardi,2,NA
metalia spatagus,2,NA
metalia townsendi,2,NA
metalia waylandi,2,NA
metallogorgia macrospina,2,NA
metallogorgia melanotrichos,2,NA
metallogorgia splendens,2,NA
metallogorgia tenuis,2,NA
metanarella nannolepis,2,NA
metapeachia schlenzae,2,NA
metapeachia tropica,2,NA
metarhodactis boninensis,2,NA
metastraea lobata,2,NA
metastraea planulata,2,NA
metastraea speciosa,2,NA
metedwardsia akkeshi,2,NA
metridium canum,2,NA
metridium dianthus,2,NA
metridium exile,2,NA
metridium farcimen,2,NA
metridium huanghaiense,2,NA
metridium senile,2,NA
metridium sinensis,2,NA
michelinia indica,2,NA
michelinia tenuiseptata,2,NA
micrabacia americana,2,NA
micrabacia arkansasensis,2,NA
micrabacia beaumontii,2,NA
micrabacia bowerbankii,2,NA
micrabacia coronula,2,NA
micrabacia cribaria,2,NA
micrabacia fittoni,2,NA
micrabacia hilgardi,2,NA
micrabacia marylandica,2,NA
micrabacia mineolensis,2,NA
micrabacia mississippiensis,2,NA
micrabacia navarroensis,2,NA
micrabacia rotatilis,2,NA
micrabacia stephensoni,2,NA
micrabacia taylorensis,2,NA
micraster amnicus,2,NA
micraster burgiensis,2,NA
micraster carinatus,2,NA
micraster coranguinum,2,NA
micraster coravium,2,NA
micraster depressus,2,NA
micraster desori,2,NA
micraster elevatus,2,NA
micraster gappi,2,NA
micraster leskei,2,NA
micraster piriformis,2,NA
micraster pseudorostratus,2,NA
micraster schlueteri,2,NA
micraster solignaci,2,NA
micraster subglobosus,2,NA
micraster trangahyensis,2,NA
micraster uddeni,2,NA
micraster vistulensis,2,NA
micraster westlakei,2,NA
micraster norfolkensis,2,NA
micraster sonorensis,2,NA
micraster eysdenensis,2,NA
micraster montensis,2,NA
micraster bibicensis,2,NA
micraster maleckii,2,NA
micraster praerogalae,2,NA
micraster schroederi,2,NA
micraster cracoviensis,2,NA
micraster americanus,2,NA
microcyphus annulatus,2,NA
microcyphus ceylanicus,2,NA
microcyphus compsus,2,NA
microcyphus excentricus,2,NA
microcyphus iglahensis,2,NA
microcyphus javanus,2,NA
microcyphus keiensis,2,NA
microcyphus maculatus,2,NA
microcyphus melo,2,NA
microcyphus olivaceus,2,NA
microcyphus rousseaui,2,NA
microcyphus zigzag,2,NA
micromussa amakusensis,2,NA
micromussa indiana,2,NA
micromussa lordhowensis,2,NA
micromussa multipunctata,2,NA
micromussa pacifica,2,NA
micromussa regularis,2,NA
micropedina cotteaui,2,NA
micropedina gongilensis,2,NA
micropedina olisiponensis,2,NA
micropedina simplex,2,NA
micropetalon purpureum,2,NA
microphyllia densecostata,2,NA
microprimnoa diabathra,2,NA
micropyga tuberculata,2,NA
micropyga violacea,2,NA
microscleroderma chonelleides,2,NA
microscleroderma herdmani,2,NA
microscleroderma hirsutum,2,NA
microscleroderma lamina,2,NA
microscleroderma lava,2,NA
microscleroderma mexica,2,NA
microscleroderma miritatarata,2,NA
microscleroderma novaezelandiae,2,NA
microscleroderma spirophora,2,NA
microscleroderma stoneae,2,NA
microseris godoganiensis,2,NA
microseris hemisphaerica,2,NA
microsolena champlittensis,2,NA
microsolena concinna,2,NA
microsolena culcitaeformis,2,NA
microsolena porosa,2,NA
microsolena regularis,2,NA
microsolena simondsi,2,NA
microsolena texana,2,NA
microtylostylifer anomalus,2,NA
microtylostylifer aruensis,2,NA
microtylostylifer partida,2,NA
microxina benedeni,2,NA
microxina charcoti,2,NA
microxina lanceolata,2,NA
microxina myxa,2,NA
microxina phakellioides,2,NA
microxina sarai,2,NA
microxina simplex,2,NA
microxistyla petrina,2,NA
microzoanthus kagerou,2,NA
microzoanthus occultus,2,NA
mimetridium cryptum,2,NA
mimiosalenia quinquetuberculata,2,NA
minabea phalloides,2,NA
minuisis granti,2,NA
minuisis pseudoplanum,2,NA
miocidaris adrianae,2,NA
miocidaris ampezzana,2,NA
miocidaris ampla,2,NA
miocidaris barzaviae,2,NA
miocidaris cortinensis,2,NA
miocidaris curmaturi,2,NA
miocidaris dubari,2,NA
miocidaris pakistanensis,2,NA
miocidaris permica,2,NA
miocidaris platyacantha,2,NA
miocidaris spinulifera,2,NA
miocidaris tenuispina,2,NA
miocidaris timorensis,2,NA
miocidaris turneri,2,NA
miocidaris hescheleri,2,NA
mirostenella articulata,2,NA
mitsukuriella inflexa,2,NA
mitsukuriella squamulosa,2,NA
mitsukuriella unusordo,2,NA
moira adamthi,2,NA
moira atropos,2,NA
moira lachesinella,2,NA
moira lethe,2,NA
moira obesa,2,NA
moira stygia,2,NA
moiropsis claudicans,2,NA
moiropsis depressa,2,NA
molpadia abyssicola,2,NA
molpadia acuta,2,NA
molpadia africana,2,NA
molpadia agassizii,2,NA
molpadia amorpha,2,NA
molpadia andamanensis,2,NA
molpadia angulata,2,NA
molpadia antarctica,2,NA
molpadia arctica,2,NA
molpadia barbouri,2,NA
molpadia blakei,2,NA
molpadia borealis,2,NA
molpadia brevicaudata,2,NA
molpadia capensis,2,NA
molpadia changi,2,NA
molpadia clarki,2,NA
molpadia concolor,2,NA
molpadia contorta,2,NA
molpadia cubana,2,NA
molpadia diomediae,2,NA
molpadia diploa,2,NA
molpadia discors,2,NA
molpadia dispar,2,NA
molpadia dissimilis,2,NA
molpadia ecalcarea,2,NA
molpadia elongata,2,NA
molpadia eltaninae,2,NA
molpadia gephyra,2,NA
molpadia granulata,2,NA
molpadia guangdongensis,2,NA
molpadia hirta,2,NA
molpadia hispida,2,NA
molpadia holothurioides,2,NA
molpadia infesta,2,NA
molpadia inflata,2,NA
molpadia intermedia,2,NA
molpadia lenticula,2,NA
molpadia liska,2,NA
molpadia magdae,2,NA
molpadia maroccana,2,NA
molpadia millardae,2,NA
molpadia musculus,2,NA
molpadia niasica,2,NA
molpadia oolitica,2,NA
molpadia orientalis,2,NA
molpadia parva,2,NA
molpadia parvacauda,2,NA
molpadia parvulum,2,NA
molpadia paupera,2,NA
molpadia perforata,2,NA
molpadia polymorpha,2,NA
molpadia roretzii,2,NA
molpadia scabra,2,NA
molpadia spinosa,2,NA
molpadia thandari,2,NA
molpadia triforia,2,NA
molpadia turgida,2,NA
molpadia undulata,2,NA
molpadia violacea,2,NA
molpadiodemas atlanticus,2,NA
molpadiodemas constrictus,2,NA
molpadiodemas crinitus,2,NA
molpadiodemas depressus,2,NA
molpadiodemas epibiotus,2,NA
molpadiodemas helios,2,NA
molpadiodemas involutus,2,NA
molpadiodemas morbillus,2,NA
molpadiodemas neovillosus,2,NA
molpadiodemas pediculus,2,NA
molpadiodemas porphyrus,2,NA
molpadiodemas pustulosus,2,NA
molpadiodemas translucens,2,NA
molpadiodemas ustulatus,2,NA
molpadiodemas villosus,2,NA
molpadiodemas violaceus,2,NA
moltkia advena,2,NA
monactis vestita,2,NA
monanchora alaskensis,2,NA
monanchora arbuscula,2,NA
monanchora bahamensis,2,NA
monanchora brasiliensis,2,NA
monanchora clathrata,2,NA
monanchora coccinea,2,NA
monanchora dianchora,2,NA
monanchora enigmatica,2,NA
monanchora laevissima,2,NA
monanchora laminachela,2,NA
monanchora lipochela,2,NA
monanchora megasigmifera,2,NA
monanchora pulchra,2,NA
monanchora quadrangulata,2,NA
monanchora stocki,2,NA
monanchora unguiculata,2,NA
monanchora viridis,2,NA
monilechinus portucalensis,2,NA
monilipsolus mirabilis,2,NA
monocrepidium eruca,2,NA
monocrepidium minutum,2,NA
monocrepidium vermiculatum,2,NA
monohedotrochus capitolii,2,NA
monohedotrochus circularis,2,NA
monohedotrochus epithecatus,2,NA
monomyces pusillus,2,NA
monomyces pygmaea,2,NA
monomyces rubrum,2,NA
monophoraster darwini,2,NA
monophoraster duboisi,2,NA
monophoraster telfordi,2,NA
monostychia australis,2,NA
montastraea antilliana,2,NA
montastraea arachnoides,2,NA
montastraea brevis,2,NA
montastraea canalis,2,NA
montastraea cavernosa,2,NA
montastraea conferta,2,NA
montastraea cubana,2,NA
montastraea cylindrica,2,NA
montastraea endothecata,2,NA
montastraea eocenica,2,NA
montastraea gabbi,2,NA
montastraea maxima,2,NA
montastraea nodosa,2,NA
montastraea pelouaensis,2,NA
montastraea prima,2,NA
montastraea rotunda,2,NA
montastraea trinitatis,2,NA
monticulastraea inaequalis,2,NA
monticulastraea insignis,2,NA
monticulastraea solidior,2,NA
montigyra kenti,2,NA
montipora aequituberculata,2,NA
montipora altasepta,2,NA
montipora angulata,2,NA
montipora antiqua,2,NA
montipora aspergillus,2,NA
montipora australiensis,2,NA
montipora berryi,2,NA
montipora cactus,2,NA
montipora calcarea,2,NA
montipora caliculata,2,NA
montipora capitata,2,NA
montipora capricornis,2,NA
montipora carinata,2,NA
montipora cebuensis,2,NA
montipora circumvallata,2,NA
montipora cocosensis,2,NA
montipora confusa,2,NA
montipora conicula,2,NA
montipora corbettensis,2,NA
montipora crassituberculata,2,NA
montipora cretacea,2,NA
montipora cryptus,2,NA
montipora danae,2,NA
montipora delicatula,2,NA
montipora digitata,2,NA
montipora dilatata,2,NA
montipora dubiosa,2,NA
montipora echinata,2,NA
montipora edwardsi,2,NA
montipora efflorescens,2,NA
montipora effusa,2,NA
montipora ehrenbergi,2,NA
montipora explanata,2,NA
montipora flabellata,2,NA
montipora florida,2,NA
montipora floweri,2,NA
montipora foliosa,2,NA
montipora foveolata,2,NA
montipora fragosa,2,NA
montipora friabilis,2,NA
montipora gaimardi,2,NA
montipora gracilis,2,NA
montipora grisea,2,NA
montipora hemispherica,2,NA
montipora hispida,2,NA
montipora hodgsoni,2,NA
montipora hoffmeisteri,2,NA
montipora incrassata,2,NA
montipora informis,2,NA
montipora jonesi,2,NA
montipora kellyi,2,NA
montipora lobulata,2,NA
montipora mactanensis,2,NA
montipora maeandrina,2,NA
montipora malampaya,2,NA
montipora maldivensis,2,NA
montipora manauliensis,2,NA
montipora marshallensis,2,NA
montipora micropora,2,NA
montipora millepora,2,NA
montipora mollis,2,NA
montipora monasteriata,2,NA
montipora niugini,2,NA
montipora nodosa,2,NA
montipora orientalis,2,NA
montipora pachytuberculata,2,NA
montipora palawanensis,2,NA
montipora patula,2,NA
montipora peltiformis,2,NA
montipora porites,2,NA
montipora samarensis,2,NA
montipora saudii,2,NA
montipora schenki,2,NA
montipora setosa,2,NA
montipora sinuosa,2,NA
montipora spongiosa,2,NA
montipora spongodes,2,NA
montipora spumosa,2,NA
montipora stellata,2,NA
montipora stilosa,2,NA
montipora suvadivae,2,NA
montipora taiwanensis,2,NA
montipora tortuosa,2,NA
montipora tuberculosa,2,NA
montipora turgescens,2,NA
montipora turtlensis,2,NA
montipora undata,2,NA
montipora vaughani,2,NA
montipora venosa,2,NA
montipora verrilli,2,NA
montipora verrucosa,2,NA
montipora verruculosa,2,NA
montipora vietnamensis,2,NA
montlivaltia angusticostata,2,NA
montlivaltia atlantica,2,NA
montlivaltia brevis,2,NA
montlivaltia caryophyllata,2,NA
montlivaltia concinna,2,NA
montlivaltia cupuliformis,2,NA
montlivaltia delabechii,2,NA
montlivaltia discus,2,NA
montlivaltia excavata,2,NA
montlivaltia ferculum,2,NA
montlivaltia foliacea,2,NA
montlivaltia guettardi,2,NA
montlivaltia haimei,2,NA
montlivaltia hibernica,2,NA
montlivaltia ignorata,2,NA
montlivaltia indica,2,NA
montlivaltia jacquemonti,2,NA
montlivaltia lens,2,NA
montlivaltia lynyani,2,NA
montlivaltia martini,2,NA
montlivaltia morrisi,2,NA
montlivaltia mucronata,2,NA
montlivaltia murchisoniae,2,NA
montlivaltia nummiformis,2,NA
montlivaltia painswicki,2,NA
montlivaltia papillata,2,NA
montlivaltia papyracea,2,NA
montlivaltia patula,2,NA
montlivaltia perlonga,2,NA
montlivaltia porpita,2,NA
montlivaltia radiata,2,NA
montlivaltia ranikoti,2,NA
montlivaltia reussi,2,NA
montlivaltia rhaetica,2,NA
montlivaltia rugosa,2,NA
montlivaltia ruperti,2,NA
montlivaltia salisburgensis,2,NA
montlivaltia simplex,2,NA
montlivaltia sinemuriensis,2,NA
montlivaltia smithi,2,NA
montlivaltia tenuilamellosa,2,NA
montlivaltia trochoides,2,NA
montlivaltia tuberculata,2,NA
montlivaltia victoriae,2,NA
montlivaltia walliae,2,NA
montlivaltia wrighti,2,NA
moolabalia nevillecolemani,2,NA
mopsea bicolor,2,NA
mopsea dichotoma,2,NA
mopsea encrinula,2,NA
mopsea flabellum,2,NA
mopsea flava,2,NA
mopsea squamosa,2,NA
mopsea tenuis,2,NA
mopsea triacnema,2,NA
morabeza benitoi,2,NA
moronaster moronensis,2,NA
mortonia australis,2,NA
mortonia lowraliensis,2,NA
mortonia polyporus,2,NA
moseleya latistellata,2,NA
multicolumnastraea cyathiformis,2,NA
multicolumnastraea parvula,2,NA
muricea acervata,2,NA
muricea albida,2,NA
muricea aspera,2,NA
muricea atlantica,2,NA
muricea austera,2,NA
muricea californica,2,NA
muricea crassa,2,NA
muricea echinata,2,NA
muricea elongata,2,NA
muricea flamma,2,NA
muricea formosa,2,NA
muricea fruticosa,2,NA
muricea galapagensis,2,NA
muricea hebes,2,NA
muricea hispida,2,NA
muricea laxa,2,NA
muricea midas,2,NA
muricea mortensenii,2,NA
muricea muricata,2,NA
muricea nariformis,2,NA
muricea pendula,2,NA
muricea pinnata,2,NA
muricea plantaginea,2,NA
muricea purpurea,2,NA
muricea pusilla,2,NA
muricea ramosa,2,NA
muricea retusa,2,NA
muricea robusta,2,NA
muricea spicifera,2,NA
muricea splendens,2,NA
muricea squarrosa,2,NA
muricea subtilis,2,NA
muricea tubigera,2,NA
muricea waltonsmithi,2,NA
muriceides aequatorialis,2,NA
muriceides chamaeleon,2,NA
muriceides collaris,2,NA
muriceides cylindrica,2,NA
muriceides dubia,2,NA
muriceides echinata,2,NA
muriceides foresti,2,NA
muriceides fragilis,2,NA
muriceides hirta,2,NA
muriceides hirtus,2,NA
muriceides javensis,2,NA
muriceides kuekenthali,2,NA
muriceides lepida,2,NA
muriceides nigra,2,NA
muriceides obtusa,2,NA
muriceides paucituberculata,2,NA
muriceides robusta,2,NA
muriceides tenuis,2,NA
muriceides verrilli,2,NA
muricella abnormalis,2,NA
muricella argentea,2,NA
muricella aruensis,2,NA
muricella bengalensis,2,NA
muricella brunnea,2,NA
muricella complanata,2,NA
muricella crassa,2,NA
muricella decipiens,2,NA
muricella dentata,2,NA
muricella dubia,2,NA
muricella englemani,2,NA
muricella exilis,2,NA
muricella flexilis,2,NA
muricella flexuosa,2,NA
muricella gracilis,2,NA
muricella magna,2,NA
muricella megaspina,2,NA
muricella nitida,2,NA
muricella operculata,2,NA
muricella paraplectana,2,NA
muricella perramosa,2,NA
muricella plectana,2,NA
muricella ramosa,2,NA
muricella reticulata,2,NA
muricella robusta,2,NA
muricella rosea,2,NA
muricella rubra,2,NA
muricella sayad,2,NA
muricella stellata,2,NA
muricella tenera,2,NA
muricella tuberculata,2,NA
muricella umbraticoides,2,NA
muricella vasseuri,2,NA
muriceopsis bayeriana,2,NA
muriceopsis flavida,2,NA
muriceopsis metaclados,2,NA
muriceopsis petila,2,NA
muriceopsis sulphurea,2,NA
muriceopsis tuberculata,2,NA
murraypneustes biannulatus,2,NA
mussa angulosa,2,NA
mussismilia braziliensis,2,NA
mussismilia harttii,2,NA
mussismilia hispida,2,NA
mussismilia leptophylla,2,NA
mycale lampra,2,NA
mycale pluma,2,NA
mycale adhaerens,2,NA
mycale americana,2,NA
mycale antiae,2,NA
mycale arndti,2,NA
mycale bamfieldensis,2,NA
mycale carmigropila,2,NA
mycale cavernosa,2,NA
mycale citrina,2,NA
mycale contarenii,2,NA
mycale corrugata,2,NA
mycale denticulata,2,NA
mycale dickinsoni,2,NA
mycale dubia,2,NA
mycale erythraeana,2,NA
mycale escarlatei,2,NA
mycale flagelliformis,2,NA
mycale furcata,2,NA
mycale gravelyi,2,NA
mycale jukdoensis,2,NA
mycale kolletae,2,NA
mycale lilianae,2,NA
mycale magellanica,2,NA
mycale magnitoxa,2,NA
mycale mannarensis,2,NA
mycale nodulosa,2,NA
mycale orientalis,2,NA
mycale pachysigmata,2,NA
mycale parvasigma,2,NA
mycale phillipensis,2,NA
mycale plumosa,2,NA
mycale porosa,2,NA
mycale prognatha,2,NA
mycale retifera,2,NA
mycale rotalis,2,NA
mycale rubra,2,NA
mycale serpens,2,NA
mycale simonis,2,NA
mycale sulevoidea,2,NA
mycale syringosimilis,2,NA
mycale syrinx,2,NA
mycale tapetum,2,NA
mycale tenerifensis,2,NA
mycale textilis,2,NA
mycale tunicata,2,NA
mycale titubans,2,NA
mycale africamucosa,2,NA
mycale anomala,2,NA
mycale aplysilloides,2,NA
mycale crassa,2,NA
mycale euplectellioides,2,NA
mycale flammula,2,NA
mycale imperfecta,2,NA
mycale incrustans,2,NA
mycale laxissima,2,NA
mycale mirabilis,2,NA
mycale pluriloba,2,NA
mycale rara,2,NA
mycale regularis,2,NA
mycale tenuispiculata,2,NA
mycale truncatella,2,NA
mycale waitei,2,NA
mycale amiri,2,NA
mycale atropha,2,NA
mycale babici,2,NA
mycale bolivari,2,NA
mycale carlilei,2,NA
mycale cecilia,2,NA
mycale cockburniana,2,NA
mycale confundata,2,NA
mycale contax,2,NA
mycale cucumis,2,NA
mycale diminuta,2,NA
mycale fascibula,2,NA
mycale fibrexilis,2,NA
mycale fistulifera,2,NA
mycale fungiaphila,2,NA
mycale fusiformis,2,NA
mycale gaussiana,2,NA
mycale guineensis,2,NA
mycale helios,2,NA
mycale hentscheli,2,NA
mycale hispida,2,NA
mycale jophon,2,NA
mycale lissochela,2,NA
mycale macilenta,2,NA
mycale madraspatana,2,NA
mycale magnirhaphidifera,2,NA
mycale maunakea,2,NA
mycale micracanthoxea,2,NA
mycale microsigmatosa,2,NA
mycale militaris,2,NA
mycale minima,2,NA
mycale monomicrosclera,2,NA
mycale murrayi,2,NA
mycale mytilorum,2,NA
mycale nullarosette,2,NA
mycale papillosa,2,NA
mycale phyllophila,2,NA
mycale pulvinus,2,NA
mycale raphidiophora,2,NA
mycale relicta,2,NA
mycale rhaphidotoxa,2,NA
mycale richardsoni,2,NA
mycale samaaii,2,NA
mycale sanguinea,2,NA
mycale senegalensis,2,NA
mycale stegoderma,2,NA
mycale subclavata,2,NA
mycale suezza,2,NA
mycale tasmani,2,NA
mycale tenuichela,2,NA
mycale tenuis,2,NA
mycale tenuisinuousitylostyli,2,NA
mycale toxifera,2,NA
mycale tubiporicola,2,NA
mycale tydemani,2,NA
mycale urizae,2,NA
mycale vermistyla,2,NA
mycale ancorina,2,NA
mycale australis,2,NA
mycale burtoni,2,NA
mycale carteri,2,NA
mycale menylloides,2,NA
mycale trichophora,2,NA
mycale unguifera,2,NA
mycale vaceleti,2,NA
mycale vansoesti,2,NA
mycale humilis,2,NA
mycale tenuityla,2,NA
mycale alagoana,2,NA
mycale anisochela,2,NA
mycale arctica,2,NA
mycale arenaria,2,NA
mycale arenicola,2,NA
mycale asigmata,2,NA
mycale beatrizae,2,NA
mycale bouryesnaultae,2,NA
mycale brownorum,2,NA
mycale cartwrighti,2,NA
mycale chujaensis,2,NA
mycale crassissima,2,NA
mycale cylindrica,2,NA
mycale darwini,2,NA
mycale dendyi,2,NA
mycale diaphana,2,NA
mycale digitata,2,NA
mycale doellojuradoi,2,NA
mycale ernsthentscheli,2,NA
mycale fibrosa,2,NA
mycale fusca,2,NA
mycale gelatinosa,2,NA
mycale geojensis,2,NA
mycale grandis,2,NA
mycale grandoides,2,NA
mycale immitis,2,NA
mycale incurvata,2,NA
mycale izuensis,2,NA
mycale japonica,2,NA
mycale jasoniae,2,NA
mycale laevis,2,NA
mycale lapidiformis,2,NA
mycale lindbergi,2,NA
mycale lingua,2,NA
mycale longistyla,2,NA
mycale loveni,2,NA
mycale macginitiei,2,NA
mycale mammiformis,2,NA
mycale massa,2,NA
mycale mauricei,2,NA
mycale meridionalis,2,NA
mycale multisclera,2,NA
mycale myriasclera,2,NA
mycale novaezealandiae,2,NA
mycale ochotensis,2,NA
mycale paschalis,2,NA
mycale profunda,2,NA
mycale quadripartita,2,NA
mycale sundaminorensis,2,NA
mycale thielei,2,NA
mycale toporoki,2,NA
mycale topsenti,2,NA
mycale trichela,2,NA
mycale tridens,2,NA
