category,trait,trait_value,trait_val_clean,spp_gp,sheet,cat_vals
biophysical traits,sub-category,OPHICHTHIDAE,ophichthidae,Ophichthus melanoporus,fish_Beth,NA
movement,planktonic larval duration (pld),> 1 year,>1year,Ophichthus melanoporus,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual,sexual,Ophichthus melanoporus,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,11 to 25,11to25,Ophichthus melanoporus,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 years,15years,Ophichthus melanoporus,fish_Beth,NA
r (reproductive traits),max age,10-20 years,1020years,Ophichthus melanoporus,fish_Beth,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Ophichthus melanoporus,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),Stenohaline,stenohaline,Ophichthus melanoporus,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,<7.4,<74,Ophichthus melanoporus,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Ophichthus melanoporus,fish_Beth,NA
specialisation,no for all fishes?,no,no,Ophichthus melanoporus,fish_Beth,NA
specialisation,within-stage dependent habitats,Soft slope,softslope,Ophichthus melanoporus,fish_Beth,NA
specialisation,across-stage dependent habitats,Soft slope,softslope,Ophichthus melanoporus,fish_Beth,NA
spatial scale of species,eoo (range),">20,000 km^2",>20000km2,Ophichthus melanoporus,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,Demersal,demersal,Ophichthus melanoporus,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Ophichthus melanoporus,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Ophichthus melanoporus,fish_Beth,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",vertical migrator,verticalmigrator,Ophichthus melanoporus,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Ophichthus melanoporus,fish_Beth,NA
biophysical traits,minimum depth,51,51,Ophichthus melanoporus,fish_Beth,NA
biophysical traits,maximum depth,460,460,Ophichthus melanoporus,fish_Beth,NA
biophysical traits,sub-category,OPHICHTHIDAE,ophichthidae,Skythrenchelys zabra,fish_Beth,NA
movement,planktonic larval duration (pld),> 1 year,>1year,Skythrenchelys zabra,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual,sexual,Skythrenchelys zabra,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,11 to 25,11to25,Skythrenchelys zabra,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Skythrenchelys zabra,fish_Beth,NA
r (reproductive traits),max age,10-20 years,1020years,Skythrenchelys zabra,fish_Beth,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Skythrenchelys zabra,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),Stenohaline,stenohaline,Skythrenchelys zabra,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,<7.4,<74,Skythrenchelys zabra,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Skythrenchelys zabra,fish_Beth,NA
specialisation,no for all fishes?,no,no,Skythrenchelys zabra,fish_Beth,NA
specialisation,within-stage dependent habitats,"Subtidal soft bottom, soft shelf",subtidalsoftbottomsoftshelf,Skythrenchelys zabra,fish_Beth,NA
specialisation,across-stage dependent habitats,"Subtidal soft bottom, soft shelf",subtidalsoftbottomsoftshelf,Skythrenchelys zabra,fish_Beth,NA
spatial scale of species,eoo (range),">20,000 km^2",>20000km2,Skythrenchelys zabra,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,Demersal,demersal,Skythrenchelys zabra,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Skythrenchelys zabra,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Skythrenchelys zabra,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Skythrenchelys zabra,fish_Beth,NA
biophysical traits,minimum depth,1,1,Skythrenchelys zabra,fish_Beth,NA
biophysical traits,maximum depth,180,180,Skythrenchelys zabra,fish_Beth,NA
biophysical traits,sub-category,OPHICHTHIDAE,ophichthidae,Xestochilus nebulosus,fish_Beth,NA
movement,planktonic larval duration (pld),> 1 year,>1year,Xestochilus nebulosus,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual,sexual,Xestochilus nebulosus,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,11 to 25,11to25,Xestochilus nebulosus,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 years,15years,Xestochilus nebulosus,fish_Beth,NA
r (reproductive traits),max age,10-20 years,1020years,Xestochilus nebulosus,fish_Beth,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Xestochilus nebulosus,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),Stenohaline,stenohaline,Xestochilus nebulosus,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,<7.4,<74,Xestochilus nebulosus,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Xestochilus nebulosus,fish_Beth,NA
specialisation,no for all fishes?,no,no,Xestochilus nebulosus,fish_Beth,NA
specialisation,within-stage dependent habitats,Subtidal soft bottom,subtidalsoftbottom,Xestochilus nebulosus,fish_Beth,NA
specialisation,across-stage dependent habitats,Subtidal soft bottom,subtidalsoftbottom,Xestochilus nebulosus,fish_Beth,NA
spatial scale of species,eoo (range),">20,000 km^2",>20000km2,Xestochilus nebulosus,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,Demersal,demersal,Xestochilus nebulosus,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Xestochilus nebulosus,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Xestochilus nebulosus,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Xestochilus nebulosus,fish_Beth,NA
biophysical traits,minimum depth,2,2,Xestochilus nebulosus,fish_Beth,NA
biophysical traits,maximum depth,42,42,Xestochilus nebulosus,fish_Beth,NA
biophysical traits,sub-category,SERRIVOMERIDAE,serrivomeridae,Serrivomer lanceolatoides,fish_Beth,NA
movement,planktonic larval duration (pld),> 1 year,>1year,Serrivomer lanceolatoides,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual,sexual,Serrivomer lanceolatoides,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,11 to 25,11to25,Serrivomer lanceolatoides,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 years,15years,Serrivomer lanceolatoides,fish_Beth,NA
r (reproductive traits),max age,10-20 years,1020years,Serrivomer lanceolatoides,fish_Beth,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Serrivomer lanceolatoides,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),Stenohaline,stenohaline,Serrivomer lanceolatoides,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,<7.4,<74,Serrivomer lanceolatoides,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Serrivomer lanceolatoides,fish_Beth,NA
specialisation,no for all fishes?,no,no,Serrivomer lanceolatoides,fish_Beth,NA
specialisation,within-stage dependent habitats,Soft slope,softslope,Serrivomer lanceolatoides,fish_Beth,NA
specialisation,across-stage dependent habitats,Soft slope,softslope,Serrivomer lanceolatoides,fish_Beth,NA
spatial scale of species,eoo (range),">20,000 km^2",>20000km2,Serrivomer lanceolatoides,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,Benthic,benthic,Serrivomer lanceolatoides,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Serrivomer lanceolatoides,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Serrivomer lanceolatoides,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Serrivomer lanceolatoides,fish_Beth,NA
biophysical traits,minimum depth,300,300,Serrivomer lanceolatoides,fish_Beth,NA
biophysical traits,maximum depth,2000,2000,Serrivomer lanceolatoides,fish_Beth,NA
biophysical traits,sub-category,SYNAPHOBRANCHIDAE,synaphobranchidae,Simenchelys parasitica,fish_Beth,NA
movement,planktonic larval duration (pld),> 1 year,>1year,Simenchelys parasitica,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual,sexual,Simenchelys parasitica,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,11 to 25,11to25,Simenchelys parasitica,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 years,15years,Simenchelys parasitica,fish_Beth,NA
r (reproductive traits),max age,10-20 years,1020years,Simenchelys parasitica,fish_Beth,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Simenchelys parasitica,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),Stenohaline,stenohaline,Simenchelys parasitica,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,<7.4,<74,Simenchelys parasitica,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Simenchelys parasitica,fish_Beth,NA
specialisation,no for all fishes?,no,no,Simenchelys parasitica,fish_Beth,NA
specialisation,within-stage dependent habitats,"Soft slope, Hard Slope",softslopehardslope,Simenchelys parasitica,fish_Beth,NA
specialisation,across-stage dependent habitats,"Soft slope, Hard Slope",softslopehardslope,Simenchelys parasitica,fish_Beth,NA
spatial scale of species,eoo (range),">20,000 km^2",>20000km2,Simenchelys parasitica,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,Benthic,benthic,Simenchelys parasitica,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Simenchelys parasitica,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Simenchelys parasitica,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Simenchelys parasitica,fish_Beth,NA
biophysical traits,minimum depth,136,136,Simenchelys parasitica,fish_Beth,NA
biophysical traits,maximum depth,2620,2620,Simenchelys parasitica,fish_Beth,NA
biophysical traits,sub-category,SYNAPHOBRANCHIDAE,synaphobranchidae,Synaphobranchus affinis,fish_Beth,NA
movement,planktonic larval duration (pld),> 1 year,>1year,Synaphobranchus affinis,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual,sexual,Synaphobranchus affinis,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,11 to 25,11to25,Synaphobranchus affinis,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 years,15years,Synaphobranchus affinis,fish_Beth,NA
r (reproductive traits),max age,10-20 years,1020years,Synaphobranchus affinis,fish_Beth,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Synaphobranchus affinis,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),Stenohaline,stenohaline,Synaphobranchus affinis,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,<7.4,<74,Synaphobranchus affinis,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Synaphobranchus affinis,fish_Beth,NA
specialisation,no for all fishes?,no,no,Synaphobranchus affinis,fish_Beth,NA
specialisation,within-stage dependent habitats,Hard slope,hardslope,Synaphobranchus affinis,fish_Beth,NA
specialisation,across-stage dependent habitats,Hard slope,hardslope,Synaphobranchus affinis,fish_Beth,NA
spatial scale of species,eoo (range),">20,000 km^2",>20000km2,Synaphobranchus affinis,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,Benthic,benthic,Synaphobranchus affinis,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Synaphobranchus affinis,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Synaphobranchus affinis,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Synaphobranchus affinis,fish_Beth,NA
biophysical traits,minimum depth,290,290,Synaphobranchus affinis,fish_Beth,NA
biophysical traits,maximum depth,2400,2400,Synaphobranchus affinis,fish_Beth,NA
biophysical traits,sub-category,SYNAPHOBRANCHIDAE,synaphobranchidae,Synaphobranchus kaupii,fish_Beth,NA
movement,planktonic larval duration (pld),> 1 year,>1year,Synaphobranchus kaupii,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual,sexual,Synaphobranchus kaupii,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,11 to 25,11to25,Synaphobranchus kaupii,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 years,15years,Synaphobranchus kaupii,fish_Beth,NA
r (reproductive traits),max age,10-20 years,1020years,Synaphobranchus kaupii,fish_Beth,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Synaphobranchus kaupii,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),Stenohaline,stenohaline,Synaphobranchus kaupii,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,<7.4,<74,Synaphobranchus kaupii,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Synaphobranchus kaupii,fish_Beth,NA
specialisation,no for all fishes?,no,no,Synaphobranchus kaupii,fish_Beth,NA
specialisation,within-stage dependent habitats,Deep soft benthic,deepsoftbenthic,Synaphobranchus kaupii,fish_Beth,NA
specialisation,across-stage dependent habitats,Deep soft benthic,deepsoftbenthic,Synaphobranchus kaupii,fish_Beth,NA
spatial scale of species,eoo (range),">20,000 km^2",>20000km2,Synaphobranchus kaupii,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,Benthic,benthic,Synaphobranchus kaupii,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Synaphobranchus kaupii,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Synaphobranchus kaupii,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Synaphobranchus kaupii,fish_Beth,NA
biophysical traits,minimum depth,120,120,Synaphobranchus kaupii,fish_Beth,NA
biophysical traits,maximum depth,4800,4800,Synaphobranchus kaupii,fish_Beth,NA
biophysical traits,sub-category,SYNAPHOBRANCHIDAE,synaphobranchidae,Synaphobranchus oregoni,fish_Beth,NA
movement,planktonic larval duration (pld),> 1 year,>1year,Synaphobranchus oregoni,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual,sexual,Synaphobranchus oregoni,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,11 to 25,11to25,Synaphobranchus oregoni,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 years,15years,Synaphobranchus oregoni,fish_Beth,NA
r (reproductive traits),max age,10-20 years,1020years,Synaphobranchus oregoni,fish_Beth,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Synaphobranchus oregoni,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),Stenohaline,stenohaline,Synaphobranchus oregoni,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,<7.4,<74,Synaphobranchus oregoni,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Synaphobranchus oregoni,fish_Beth,NA
specialisation,no for all fishes?,no,no,Synaphobranchus oregoni,fish_Beth,NA
specialisation,within-stage dependent habitats,"Soft slope, hard slope",softslopehardslope,Synaphobranchus oregoni,fish_Beth,NA
specialisation,across-stage dependent habitats,"Soft slope, hard slope",softslopehardslope,Synaphobranchus oregoni,fish_Beth,NA
spatial scale of species,eoo (range),">20,000 km^2",>20000km2,Synaphobranchus oregoni,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,Benthic,benthic,Synaphobranchus oregoni,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Synaphobranchus oregoni,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Synaphobranchus oregoni,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Synaphobranchus oregoni,fish_Beth,NA
biophysical traits,minimum depth,512,512,Synaphobranchus oregoni,fish_Beth,NA
biophysical traits,maximum depth,1900,1900,Synaphobranchus oregoni,fish_Beth,NA
biophysical traits,sub-category,MYXINIDAE,myxinidae,Eptatretus cirrhatus,fish_Beth,NA
movement,planktonic larval duration (pld),no larvae,nolarvae,Eptatretus cirrhatus,fish_Beth,NA
r (reproductive traits),reproductive strategy,hermaphroditic,hermaphroditic,Eptatretus cirrhatus,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,20-50,2050,Eptatretus cirrhatus,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,5-10 years,510years,Eptatretus cirrhatus,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance",> 1M,>1m,Eptatretus cirrhatus,fish_Beth,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,probably,probably,Eptatretus cirrhatus,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),32-34 parts per thousand (MYXINIFORMES),3234partsperthousandmyxiniformes,Eptatretus cirrhatus,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Eptatretus cirrhatus,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),high tolerance,hightolerance,Eptatretus cirrhatus,fish_Beth,NA
specialisation,no for all fishes?,no,no,Eptatretus cirrhatus,fish_Beth,NA
specialisation,within-stage dependent habitats,"Hard shelf, soft shelf, hard slope, soft slope",hardshelfsoftshelfhardslopesoftslope,Eptatretus cirrhatus,fish_Beth,NA
specialisation,across-stage dependent habitats,"Hard shelf, soft shelf, hard slope, soft slope",hardshelfsoftshelfhardslopesoftslope,Eptatretus cirrhatus,fish_Beth,NA
specialisation,extreme diet specialization,Generalist (MYXINIFORMES),generalistmyxiniformes,Eptatretus cirrhatus,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,benthic,benthic,Eptatretus cirrhatus,fish_Beth,NA
biophysical traits,biomineral,not applicable,notapplicable,Eptatretus cirrhatus,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Eptatretus cirrhatus,fish_Beth,NA
biophysical traits,minimum depth,1,1,Eptatretus cirrhatus,fish_Beth,NA
biophysical traits,maximum depth,1100,1100,Eptatretus cirrhatus,fish_Beth,NA
biophysical traits,sub-category,MYXINIDAE,myxinidae,Eptatretus mendozai,fish_Beth,NA
movement,planktonic larval duration (pld),no larvae,nolarvae,Eptatretus mendozai,fish_Beth,NA
r (reproductive traits),reproductive strategy,hermaphroditic,hermaphroditic,Eptatretus mendozai,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,20-50,2050,Eptatretus mendozai,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,5-10 years,510years,Eptatretus mendozai,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance","10,000-100,000",10000100000,Eptatretus mendozai,fish_Beth,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,probably,probably,Eptatretus mendozai,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),32-34 parts per thousand (MYXINIFORMES),3234partsperthousandmyxiniformes,Eptatretus mendozai,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Eptatretus mendozai,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),high tolerance,hightolerance,Eptatretus mendozai,fish_Beth,NA
specialisation,no for all fishes?,no,no,Eptatretus mendozai,fish_Beth,NA
specialisation,within-stage dependent habitats,Soft slope,softslope,Eptatretus mendozai,fish_Beth,NA
specialisation,across-stage dependent habitats,Soft slope,softslope,Eptatretus mendozai,fish_Beth,NA
specialisation,extreme diet specialization,Generalist (MYXINIFORMES),generalistmyxiniformes,Eptatretus mendozai,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,benthic,benthic,Eptatretus mendozai,fish_Beth,NA
biophysical traits,biomineral,not applicable,notapplicable,Eptatretus mendozai,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Eptatretus mendozai,fish_Beth,NA
biophysical traits,minimum depth,720,720,Eptatretus mendozai,fish_Beth,NA
biophysical traits,maximum depth,1100,1100,Eptatretus mendozai,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Cirripectes alleni,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Cirripectes alleni,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Cirripectes alleni,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Cirripectes alleni,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Cirripectes alleni,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Cirripectes alleni,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance","10,000-100,000",10000100000,Cirripectes alleni,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),stenohaline,stenohaline,Cirripectes alleni,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Cirripectes alleni,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Cirripectes alleni,fish_Beth,NA
specialisation,within-stage dependent habitats,"Subtidal hard bottom, rocky reef",subtidalhardbottomrockyreef,Cirripectes alleni,fish_Beth,NA
specialisation,across-stage dependent habitats,"Subtidal hard bottom, rocky reef",subtidalhardbottomrockyreef,Cirripectes alleni,fish_Beth,NA
specialisation,no for all fishes?,no,no,Cirripectes alleni,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Cirripectes alleni,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Cirripectes alleni,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Cirripectes alleni,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Cirripectes alleni,fish_Beth,NA
biophysical traits,minimum depth,1,1,Cirripectes alleni,fish_Beth,NA
biophysical traits,maximum depth,15,15,Cirripectes alleni,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Cirripectes filamentosus,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Cirripectes filamentosus,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Cirripectes filamentosus,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Cirripectes filamentosus,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Cirripectes filamentosus,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Cirripectes filamentosus,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance",>1M,>1m,Cirripectes filamentosus,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),stenohaline,stenohaline,Cirripectes filamentosus,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Cirripectes filamentosus,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Cirripectes filamentosus,fish_Beth,NA
specialisation,within-stage dependent habitats,"Rocky intertidal, subtidal hard bottom, rocky reef",rockyintertidalsubtidalhardbottomrockyreef,Cirripectes filamentosus,fish_Beth,NA
specialisation,across-stage dependent habitats,"Rocky intertidal, subtidal hard bottom, rocky reef",rockyintertidalsubtidalhardbottomrockyreef,Cirripectes filamentosus,fish_Beth,NA
specialisation,no for all fishes?,no,no,Cirripectes filamentosus,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Cirripectes filamentosus,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Cirripectes filamentosus,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Cirripectes filamentosus,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Cirripectes filamentosus,fish_Beth,NA
biophysical traits,minimum depth,0,0,Cirripectes filamentosus,fish_Beth,NA
biophysical traits,maximum depth,20,20,Cirripectes filamentosus,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Crossosalarias macrospilus,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Crossosalarias macrospilus,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Crossosalarias macrospilus,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Crossosalarias macrospilus,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Crossosalarias macrospilus,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Crossosalarias macrospilus,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance",>1M,>1m,Crossosalarias macrospilus,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),stenohaline,stenohaline,Crossosalarias macrospilus,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Crossosalarias macrospilus,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Crossosalarias macrospilus,fish_Beth,NA
specialisation,within-stage dependent habitats,"Subtidal hard bottom, rocky reef",subtidalhardbottomrockyreef,Crossosalarias macrospilus,fish_Beth,NA
